country,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,,,,,
Afghanistan,2000,Developing,55,321,88,0.01,10.42,,,Year,percentage_expenditure,life_expectancy
Afghanistan,2001,Developing,55,316,88,0.01,10.57,,,2007,10.91,58
Afghanistan,2002,Developing,56,3,88,0.01,16.89,,,,,
Afghanistan,2003,Developing,57,295,87,0.01,11.09,,,,,
Afghanistan,2004,Developing,57,293,87,0.02,15.30,,,,,
Afghanistan,2005,Developing,57,291,85,0.02,1.39,,,,,
Afghanistan,2006,Developing,57,295,84,0.03,17.17,,,,,
Afghanistan,2007,Developing,58,295,82,0.02,10.91,,,,,
Afghanistan,2008,Developing,58,287,80,0.03,25.87,,,,,
Afghanistan,2009,Developing,59,281,77,0.01,56.76,,,,,
Afghanistan,2010,Developing,59,279,74,0.01,79.68,,,,,
Afghanistan,2011,Developing,59,275,71,0.01,7.10,,,,,
Afghanistan,2012,Developing,60,272,69,0.01,78.18,,,,,
Afghanistan,2013,Developing,60,268,66,0.01,73.22,,,,,
Afghanistan,2014,Developing,60,271,64,0.01,73.52,,,,,
Afghanistan,2015,Developing,65,263,62,0.01,71.28,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
